Task ID,VM ID,Host ID,Datacenter ID,Closest Datacenter,Arrival Time,Start Time,Finish Time,Deadline,Failed Count,Failed
362,33,11,1,1,364.618361,365.130667,405.226667,413.618361,0,0
363,184,61,2,2,365.326456,365.408889,402.531333,398.326456,0,1
364,2,0,3,3,365.722165,365.908444,405.488667,402.722165,0,1
365,34,11,2,2,367.933319,369.332000,388.204000,409.933319,0,0
366,5,1,3,3,369.328376,369.550667,381.959333,403.328376,0,0
367,34,11,2,2,371.415942,372.389333,390.416667,418.415942,0,0
368,37,12,2,2,375.064672,375.334667,382.114889,404.064672,0,0
369,5,1,3,3,377.174538,377.445778,389.762667,410.174538,0,0
370,39,13,1,1,377.404194,377.741333,397.796667,413.404194,0,0
371,40,13,2,2,377.775195,378.085333,418.256667,404.775195,0,1
372,8,2,3,3,377.792875,378.085333,393.243333,416.792875,0,0
373,40,13,2,2,378.081801,378.146667,418.256667,410.081801,0,1
374,43,14,2,2,380.606142,380.908444,400.498667,417.606142,0,0
375,45,15,1,1,380.814701,380.977333,401.038000,419.814701,0,0
376,45,15,1,1,381.126645,381.450667,401.258000,409.126645,0,0
377,43,14,2,2,381.274336,381.450667,400.982000,414.274336,0,0
378,8,2,3,3,382.929353,383.052000,398.227333,415.929353,0,0
379,11,3,3,3,384.094601,384.772000,398.227333,418.094601,0,0
380,11,3,3,3,384.521237,384.772000,398.227333,415.521237,0,0
381,14,4,3,3,386.150608,387.993333,428.128667,434.150608,0,0
382,46,15,2,2,387.085872,387.993333,425.517333,428.085872,0,0
383,14,4,3,3,388.043616,388.314000,428.348667,417.043616,0,1
384,48,16,1,1,389.025989,389.122667,405.640000,414.025989,0,0
385,48,16,1,1,390.664837,392.741333,409.205333,420.664837,0,0
386,46,15,2,2,391.359400,392.741333,429.252667,440.359400,0,0
387,51,17,1,1,391.488555,392.741333,399.503778,436.488555,0,0
388,17,5,3,3,392.205940,392.741333,409.412667,438.205940,0,0
389,54,18,1,1,393.086572,393.146667,399.817333,418.086572,0,0
390,17,5,3,3,394.891189,396.198667,412.925333,420.891189,0,0
391,57,19,1,1,397.587033,397.741333,404.479333,428.587033,0,0
392,60,20,1,1,397.764512,397.808000,404.589333,423.764512,0,0
393,49,16,2,2,397.971052,398.146667,404.926889,427.971052,0,0
394,63,21,1,1,398.466345,398.907111,418.937333,426.466345,0,0
395,11,3,3,3,398.704883,399.008000,405.708667,429.704883,0,0
396,52,17,2,2,399.266720,399.411111,406.155333,439.266720,0,0
397,51,17,1,1,399.499008,399.530667,406.312889,431.499008,0,0
398,201,67,1,1,400.391084,400.608667,440.787333,449.391084,0,0
399,201,67,1,1,400.416075,400.608667,440.787333,433.416075,0,1
400,122,40,3,3,401.119948,401.258000,437.256667,439.119948,0,0
401,122,40,3,3,405.319812,405.378667,441.344889,447.319812,0,0
402,125,41,3,3,406.484901,408.482667,444.787333,450.484901,0,0
